year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2015,1.66300602334775,0.514426137125456,4.612,77.7565815686922,,Germany
2014,2.18018602168017,0.906794000434245,4.979,76.8483516336234,,Germany
2013,0.396995583779145,1.50472330251876,5.316,77.5860288576931,,Germany
2012,0.463512036709204,2.00848884782956,5.372,79.3316495670315,,Germany
2011,3.75796884489337,2.07517283735874,5.967,78.433002901442,,Germany
2010,4.13463778522758,1.1038103778926,7.043,73.8852351200263,,Germany
2009,-5.54455451920674,0.312739007368446,7.88,66.1391275757126,,Germany
2008,0.887902330743628,2.62837981637219,7.508,76.1131665945746,,Germany
2007,2.8891174138025,2.2983440070095,8.732,74.8838416816798,,Germany
2006,3.86668241523209,1.57742642840563,10.277,72.7591934646234,,Germany
2005,0.885485292551564,1.54691114751328,11.193,66.9531024934321,,Germany
2004,1.16208684507278,1.66573696655991,10.727,62.9064909465164,,Germany
2003,-0.529801394291297,1.03422218628562,9.779,58.9145442942507,,Germany
2002,-0.228255715793637,1.42080615551526,8.482,58.3325687248129,,Germany
2001,1.63614170690956,1.98385731334471,7.773,59.5592863682118,,Germany
2000,2.8765231247659,1.44026838719741,7.917,59.1955992975405,,Germany
2024,1.1264226705118,3.2715729463592,4.361,62.8401605267118,131.073062954793,United Kingdom
2023,0.271650048355255,6.79396706793963,4.025,64.9923841747803,136.142431919028,United Kingdom
2022,5.14970388522993,7.92204883147902,3.768,69.1989264413981,138.215904304967,United Kingdom
2021,8.5431118453255,2.51837109614213,4.864,58.53838629291,183.804848939919,United Kingdom
2020,-10.047896637362,0.989486703772491,4.472,59.1598893030611,194.682828796265,United Kingdom
2019,1.25629899760824,1.73810460086513,3.657,65.0035664177054,158.972569875821,United Kingdom
2018,1.55133095078786,2.29283990345938,4.145,64.9097721959201,156.766820519267,United Kingdom
2017,3.02322219840339,2.55775577557747,4.501,63.1899245764158,160.141177233502,United Kingdom
2016,2.20652020635357,1.0084173681141,4.909,59.8395315138259,155.581504971929,United Kingdom
2015,2.14040560033371,0.36804684232536,5.552,57.125044605439,147.063146778865,United Kingdom
2014,3.16017351468152,1.45112016293279,6.398,58.8210228333296,149.584281299965,United Kingdom
2013,1.71846961308464,2.29166666666659,7.752,61.7195395154583,141.033172505075,United Kingdom
2012,1.52826034721852,2.5732347965453,8.279,61.9688704472535,146.371335905972,United Kingdom
2011,0.851437739020326,3.8561124468282,8.195,63.3240615708901,143.125971214621,United Kingdom
2010,2.26054460931586,2.49265472467065,7.973,59.0511802227821,130.497283454602,United Kingdom
2009,-4.58740819226323,1.96173173560109,7.683,54.6537301085991,122.887383328898,United Kingdom
2008,-0.0494116727402769,3.52140856342539,5.748,56.4365501052604,104.84023075526,United Kingdom
2007,2.93091133582351,2.38656150773327,5.399,52.7493524964733,93.3735852072108,United Kingdom
2006,2.18982132415704,2.4556616643929,5.472,56.7047791729812,91.788062892401,United Kingdom
2005,2.7906547174688,2.0891364902507,4.884,52.5442740383211,91.8639528693767,United Kingdom
2004,2.32601853325993,1.39039756680422,4.594,50.2885521756133,90.2045973945536,United Kingdom
2003,3.21851612669614,1.37650038542013,4.807,50.0681187039704,86.4073086616893,United Kingdom
2002,1.70902736258567,1.52040245947455,5.037,51.2361820991323,86.1686223366587,United Kingdom
2001,2.39102229602824,1.53234960272418,4.696,52.6342367336438,84.04178204707,United Kingdom
2000,4.52438074810904,1.18295624210408,5.558,52.3380212335903,87.284376049437,United Kingdom
2024,1.19046798275883,1.99904942291462,7.4,68.1081875443744,,France
2023,1.43921494437743,4.8783572650844,7.335,70.6261450610225,,France
2022,2.71676264185913,5.22236748369725,7.303,75.9630077981996,,France
2021,6.88233783360239,1.64233141038393,7.871,63.788482630872,,France
2020,-7.44064589948231,0.476498852725065,8.009,58.8388907240647,,France
2019,2.02744646419237,1.10825492288293,8.415,66.4289771741449,,France
2018,1.64590872395887,1.85081508315492,9.018,66.8022607812266,,France
2017,2.08361485997399,1.03228275064681,9.409,65.3958481559711,,France
2016,0.860031075424033,0.183334861123764,10.057,63.3427564383351,,France
2015,1.06675474783462,0.0375143805125181,10.354,63.5046871956484,,France
